Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
31,31,27,2022-12-22,31-094,NOP,,SAS,W (+9),1,37:11,14.0,27.0,.519,7.0,14.0,.500,5,5.0,1.000,1.0,7.0,8.0,9.0,1.0,2.0,5.0,1.0,40.0,32.8,+23,13.0,7.0,0.5384615384615384,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,23.0,64.0,4.0,30.800000000000004,67.5,4.21875
32,32,28,2022-12-23,31-095,NOP,@,OKC,W (+3),1,35:43,5.0,18.0,.278,3.0,8.0,.375,4,4.0,1.000,0.0,6.0,6.0,11.0,1.0,2.0,4.0,2.0,17.0,13.5,+3,10.0,2.0,0.2,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,11.0,63.0,3.9375,11.899999999999997,70.5,4.40625
33,33,29,2022-12-26,31-098,NOP,,IND,W (+20),1,29:53,5.0,14.0,.357,3.0,7.0,.429,6,7.0,.857,1.0,6.0,7.0,6.0,2.0,0.0,5.0,1.0,19.0,14.1,+1,7.0,2.0,0.2857142857142857,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,8.0,90.0,5.625,11.7,71.39999999999999,4.4624999999999995
34,34,30,2022-12-28,31-100,NOP,,MIN,W (+1),1,37:10,7.0,16.0,.438,3.0,6.0,.500,3,5.0,.600,1.0,2.0,3.0,6.0,2.0,0.0,4.0,2.0,20.0,13.5,+3,10.0,4.0,0.4,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,6.0,57.0,3.5625,12.3,69.7,4.35625
35,35,31,2022-12-30,31-102,NOP,,PHI,W (+11),1,35:01,13.0,20.0,.650,11.0,16.0,.688,5,6.0,.833,1.0,3.0,4.0,5.0,2.0,0.0,2.0,2.0,42.0,37.1,+6,4.0,2.0,0.5,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,25.0,59.0,3.6875,35.10000000000001,69.99999999999999,4.374999999999999
36,36,32,2022-12-31,31-103,NOP,@,MEM,L (-15),1,30:45,4.0,16.0,.250,1.0,7.0,.143,1,1.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,6.0,1.0,10.0,-3.6,-27,9.0,3.0,0.3333333333333333,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,-9.0,55.0,3.4375,-3.999999999999999,56.3,3.51875
37,37,33,2023-01-02,31-105,NOP,@,PHI,L (-9),1,39:04,9.0,16.0,.563,5.0,8.0,.625,3,4.0,.750,0.0,2.0,2.0,6.0,1.0,0.0,5.0,0.0,26.0,18.8,-8,8.0,4.0,0.5,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,10.0,76.0,4.75,17.600000000000005,68.6,4.2875
38,38,34,2023-01-04,31-107,NOP,,HOU,W (+11),1,35:08,10.0,21.0,.476,5.0,11.0,.455,3,4.0,.750,1.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,28.0,21.7,-3,10.0,5.0,0.5,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,11.0,84.0,5.25,20.500000000000007,87.39999999999999,5.4624999999999995
39,39,35,2023-01-06,31-109,NOP,,BRK,L (-6),1,37:16,10.0,24.0,.417,4.0,8.0,.500,4,7.0,.571,1.0,5.0,6.0,6.0,0.0,2.0,3.0,1.0,28.0,18.4,-16,16.0,6.0,0.375,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,8.0,61.0,3.8125,16.800000000000008,53.5,3.34375
40,40,,2023-01-07,31-110,NOP,@,DAL,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,,83.0,5.1875,0.0,98.3,6.14375
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,,0.0,0.0,0.0,0.0,0.0
42,41,36,2023-01-09,31-112,NOP,@,WAS,W (+20),1,30:42,12.0,21.0,.571,4.0,8.0,.500,6,6.0,1.000,1.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,34.0,26.2,+9,13.0,8.0,0.6153846153846154,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,14.0,84.0,5.25,23.800000000000008,81.10000000000001,5.0687500000000005
43,42,37,2023-01-11,31-114,NOP,@,BOS,L (-11),1,33:57,15.0,24.0,.625,6.0,12.0,.500,2,5.0,.400,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,38.0,29.9,-14,12.0,9.0,0.75,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,18.0,65.0,4.0625,29.100000000000005,60.39999999999999,3.7749999999999995
44,43,38,2023-01-13,31-116,NOP,@,DET,W (+6),1,37:25,8.0,19.0,.421,2.0,7.0,.286,1,2.0,.500,0.0,4.0,4.0,9.0,1.0,0.0,2.0,0.0,19.0,15.0,+11,12.0,6.0,0.5,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,10.0,71.0,4.4375,14.599999999999998,78.39999999999999,4.8999999999999995
45,44,39,2023-01-16,31-119,NOP,@,CLE,L (-10),1,35:30,8.0,20.0,.400,3.0,9.0,.333,6,8.0,.750,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,25.0,11.8,-8,11.0,5.0,0.4545454545454545,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,-3.0,87.0,5.4375,9.4,73.6,4.6
46,45,40,2023-01-18,31-121,NOP,,MIA,L (-26),1,31:03,8.0,17.0,.471,5.0,9.0,.556,0,0.0,,0.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0,21.0,12.4,-18,8.0,3.0,0.375,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,9.0,54.0,3.375,12.400000000000002,56.7,3.54375
47,46,41,2023-01-20,31-123,NOP,@,ORL,L (-13),1,35:45,6.0,21.0,.286,2.0,11.0,.182,9,10.0,.900,2.0,3.0,5.0,7.0,3.0,0.0,3.0,3.0,23.0,16.3,+6,10.0,4.0,0.4,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,4.0,92.0,5.75,12.699999999999996,84.89999999999999,5.3062499999999995
48,47,42,2023-01-22,31-125,NOP,@,MIA,L (-4),1,37:07,5.0,16.0,.313,2.0,8.0,.250,1,2.0,.500,0.0,1.0,1.0,5.0,0.0,0.0,7.0,2.0,13.0,-0.6,-16,8.0,3.0,0.375,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,-6.0,73.0,4.5625,-0.9999999999999982,68.19999999999999,4.262499999999999
49,48,43,2023-01-24,31-127,NOP,,DEN,L (-1),1,35:58,9.0,22.0,.409,0.0,8.0,.000,2,2.0,1.000,0.0,4.0,4.0,4.0,0.0,0.0,6.0,0.0,20.0,6.2,+6,14.0,9.0,0.6428571428571429,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,-2.0,61.0,3.8125,5.400000000000002,62.39999999999999,3.8999999999999995
50,49,44,2023-01-25,31-128,NOP,,MIN,L (-9),1,34:22,9.0,17.0,.529,5.0,9.0,.556,2,4.0,.500,1.0,4.0,5.0,8.0,1.0,2.0,0.0,1.0,25.0,25.4,-16,8.0,4.0,0.5,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,20.0,28.0,1.75,24.6,31.0,1.9375
51,50,45,2023-01-28,31-131,NOP,,WAS,L (-10),1,35:53,9.0,19.0,.474,2.0,6.0,.333,4,5.0,.800,1.0,4.0,5.0,5.0,1.0,1.0,0.0,2.0,24.0,20.2,-7,13.0,7.0,0.5384615384615384,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,12.0,53.0,3.3125,18.600000000000005,46.8,2.925
52,51,,2023-01-29,31-132,NOP,@,MIL,L (-25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,,59.0,3.6875,0.0,65.9,4.11875
53,52,46,2023-01-31,31-134,NOP,@,DEN,L (-9),1,38:46,7.0,19.0,.368,2.0,6.0,.333,5,5.0,1.000,0.0,2.0,2.0,7.0,1.0,0.0,3.0,2.0,21.0,13.2,-5,13.0,5.0,0.3846153846153846,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,4.0,86.0,5.375,11.2,83.3,5.20625
54,53,47,2023-02-02,31-136,NOP,@,DAL,L (-5),1,37:12,9.0,14.0,.643,1.0,2.0,.500,0,0.0,,0.0,4.0,4.0,8.0,0.0,1.0,3.0,3.0,19.0,16.1,+6,12.0,8.0,0.6666666666666666,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,15.0,72.0,4.5,16.099999999999998,71.0,4.4375
55,54,48,2023-02-04,31-138,NOP,,LAL,W (+5),1,39:04,8.0,16.0,.500,2.0,5.0,.400,5,5.0,1.000,0.0,2.0,2.0,7.0,2.0,0.0,2.0,3.0,23.0,19.3,-1,11.0,6.0,0.5454545454545454,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,11.0,79.0,4.9375,17.300000000000004,89.4,5.5875
56,55,49,2023-02-05,31-139,NOP,,SAC,W (+32),1,22:52,9.0,11.0,.818,3.0,4.0,.750,3,3.0,1.000,0.0,2.0,2.0,4.0,1.0,0.0,1.0,5.0,24.0,21.3,+25,7.0,6.0,0.8571428571428571,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,16.0,83.0,5.1875,20.1,99.3,6.20625
57,56,50,2023-02-07,31-141,NOP,,ATL,W (+9),1,34:31,8.0,23.0,.348,4.0,12.0,.333,1,2.0,.500,0.0,6.0,6.0,7.0,0.0,0.0,1.0,2.0,21.0,12.6,-3,11.0,4.0,0.3636363636363636,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,8.0,72.0,4.5,12.2,81.39999999999999,5.0874999999999995
58,57,51,2023-02-10,31-144,NOP,,CLE,L (-11),1,32:41,4.0,14.0,.286,0.0,5.0,.000,4,5.0,.800,1.0,1.0,2.0,5.0,2.0,0.0,4.0,2.0,12.0,5.1,-24,9.0,4.0,0.4444444444444444,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,-2.0,89.0,5.5625,3.5000000000000027,85.79999999999998,5.362499999999999
59,58,,2023-02-13,31-147,NOP,@,OKC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,,55.0,3.4375,0.0,66.39999999999999,4.1499999999999995
60,59,52,2023-02-15,31-149,NOP,@,LAL,L (-18),1,33:41,8.0,16.0,.500,3.0,7.0,.429,3,4.0,.750,2.0,4.0,6.0,9.0,0.0,2.0,3.0,4.0,22.0,19.3,-17,9.0,5.0,0.5555555555555556,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,16.0,54.0,3.375,18.09999999999999,51.6,3.225
61,60,53,2023-02-23,31-157,NOP,@,TOR,L (-5),1,35:55,8.0,16.0,.500,3.0,5.0,.600,4,6.0,.667,1.0,3.0,4.0,5.0,0.0,0.0,2.0,2.0,23.0,16.5,-8,11.0,5.0,0.4545454545454545,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,8.0,73.0,4.5625,14.899999999999997,65.60000000000001,4.1000000000000005
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,,0.0,0.0,0.0,0.0,0.0
63,61,54,2023-02-25,31-159,NOP,@,NYK,L (-22),1,33:52,6.0,19.0,.316,1.0,9.0,.111,0,0.0,,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,13.0,4.5,-32,10.0,5.0,0.5,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,-1.0,61.0,3.8125,4.500000000000004,62.2,3.8875
