Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,,2022-12-14,28-012,OKC,,MIA,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,60.0,3.5294117647058822,0.0,70.4,4.141176470588236
29,29,,2022-12-16,28-014,OKC,,MIN,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,47.0,2.764705882352941,0.0,55.69999999999998,3.276470588235293
30,30,22,2022-12-17,28-015,OKC,,MEM,W (+6),0,31:56,4.0,11.0,.364,2.0,6.0,.333,1,3.0,.333,2.0,6.0,8.0,5.0,1.0,0.0,0.0,3.0,11.0,10.6,+4,5.0,2.0,0.4,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,11.0,58.0,3.411764705882353,10.200000000000005,65.60000000000001,3.858823529411765
31,31,23,2022-12-19,28-017,OKC,,POR,W (+2),0,28:37,5.0,7.0,.714,2.0,3.0,.667,0,0.0,,1.0,3.0,4.0,2.0,2.0,0.0,2.0,3.0,12.0,10.9,+18,4.0,3.0,0.75,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,11.0,33.0,1.9411764705882355,10.900000000000002,60.8,3.576470588235294
32,32,24,2022-12-21,28-019,OKC,,POR,W (+3),0,26:46,4.0,7.0,.571,0.0,1.0,.000,1,2.0,.500,4.0,3.0,7.0,2.0,2.0,0.0,1.0,0.0,9.0,11.4,+4,6.0,4.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,10.0,42.0,2.4705882352941178,10.999999999999996,56.400000000000006,3.3176470588235296
33,33,25,2022-12-23,28-021,OKC,,NOP,L (-3),0,26:02,3.0,6.0,.500,1.0,3.0,.333,2,3.0,.667,1.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,9.0,8.1,-11,3.0,2.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,7.0,57.0,3.3529411764705883,7.299999999999998,71.90000000000002,4.229411764705883
34,34,26,2022-12-27,28-025,OKC,,SAS,W (+16),0,17:50,3.0,4.0,.750,1.0,1.0,1.000,0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,5.7,+8,3.0,2.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,8.0,70.0,4.117647058823529,5.6999999999999975,83.9,4.935294117647059
35,35,27,2022-12-29,28-027,OKC,@,CHO,L (-8),0,15:08,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,2.5,-2,3.0,2.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,4.0,46.0,2.7058823529411766,2.5,67.49999999999999,3.970588235294117
36,36,28,2022-12-31,28-029,OKC,,PHI,L (-19),0,22:57,3.0,7.0,.429,0.0,2.0,.000,0,0.0,,3.0,6.0,9.0,2.0,0.0,3.0,0.0,1.0,6.0,9.3,-14,5.0,3.0,0.6,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,13.0,35.0,2.0588235294117645,9.300000000000002,47.59999999999999,2.7999999999999994
37,37,29,2023-01-03,28-032,OKC,,BOS,W (+33),1,23:44,3.0,6.0,.500,2.0,3.0,.667,2,2.0,1.000,2.0,3.0,5.0,3.0,1.0,0.0,1.0,3.0,10.0,10.2,+14,3.0,1.0,0.3333333333333333,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,10.0,102.0,6.0,9.400000000000002,125.2,7.364705882352942
38,38,30,2023-01-04,28-033,OKC,@,ORL,L (-11),0,20:20,5.0,7.0,.714,2.0,2.0,1.000,0,0.0,,5.0,4.0,9.0,1.0,1.0,0.0,1.0,5.0,12.0,12.5,-14,5.0,3.0,0.6,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,15.0,30.0,1.7647058823529411,12.5,54.20000000000001,3.1882352941176477
39,39,31,2023-01-06,28-035,OKC,,WAS,W (+17),0,24:17,3.0,4.0,.750,2.0,2.0,1.000,0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,8.0,7.8,-3,2.0,1.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,10.0,79.0,4.647058823529412,7.799999999999996,91.5,5.382352941176471
40,40,32,2023-01-08,28-037,OKC,,DAL,W (+11),1,24:47,6.0,9.0,.667,2.0,3.0,.667,0,0.0,,5.0,5.0,10.0,2.0,1.0,0.0,0.0,2.0,14.0,16.7,-12,6.0,4.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,18.0,60.0,3.5294117647058822,16.699999999999996,70.9,4.170588235294118
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,0.0,0.0,0.0,0.0,0.0
42,41,33,2023-01-10,28-039,OKC,@,MIA,L (-1),0,23:31,6.0,8.0,.750,1.0,3.0,.333,0,2.0,.000,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,13.0,12.3,+6,5.0,5.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,9.0,49.0,2.8823529411764706,12.3,57.29999999999999,3.370588235294117
43,42,34,2023-01-12,28-041,OKC,@,PHI,W (+19),0,16:59,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,8.0,6.9,-2,2.0,1.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,8.0,99.0,5.823529411764706,6.899999999999997,117.1,6.888235294117647
44,43,35,2023-01-13,28-042,OKC,@,CHI,W (+14),0,24:02,3.0,9.0,.333,2.0,4.0,.500,0,0.0,,2.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,7.1,+7,5.0,1.0,0.2,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,8.0,78.0,4.588235294117647,7.099999999999999,89.99999999999997,5.294117647058822
45,44,36,2023-01-15,28-044,OKC,@,BRK,W (+10),0,22:40,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,2.4,+9,2.0,1.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,5.0,61.0,3.588235294117647,2.4000000000000004,79.39999999999998,4.670588235294116
46,45,37,2023-01-18,28-047,OKC,,IND,W (+20),1,22:03,5.0,8.0,.625,2.0,4.0,.500,0,0.0,,3.0,2.0,5.0,10.0,1.0,2.0,1.0,2.0,12.0,18.7,+24,4.0,3.0,0.75,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,21.0,91.0,5.352941176470588,18.7,101.1,5.947058823529411
47,46,38,2023-01-20,28-049,OKC,@,SAC,L (-5),0,25:56,1.0,8.0,.125,1.0,6.0,.167,0,2.0,.000,3.0,3.0,6.0,3.0,0.0,0.0,1.0,1.0,3.0,0.7,+2,2.0,0.0,0.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,1.0,66.0,3.882352941176471,0.7000000000000006,82.6,4.858823529411764
48,47,39,2023-01-22,28-051,OKC,@,DEN,W (+2),0,25:22,4.0,7.0,.571,3.0,5.0,.600,0,0.0,,2.0,4.0,6.0,4.0,1.0,0.0,0.0,4.0,11.0,12.5,-3,2.0,1.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,15.0,45.0,2.647058823529412,12.500000000000002,54.900000000000006,3.229411764705883
49,48,40,2023-01-25,28-054,OKC,,ATL,L (-5),1,30:12,4.0,10.0,.400,1.0,6.0,.167,0,0.0,,2.0,5.0,7.0,7.0,0.0,0.0,1.0,3.0,9.0,9.2,+19,4.0,3.0,0.75,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,12.0,85.0,5.0,9.2,104.0,6.117647058823529
50,49,41,2023-01-27,28-056,OKC,,CLE,W (+12),0,20:21,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,3.0,4.0,7.0,1.0,0.0,1.0,0.0,1.0,7.0,9.0,+8,3.0,2.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,11.0,63.0,3.7058823529411766,8.999999999999996,78.19999999999999,4.6
51,50,42,2023-01-30,28-059,OKC,,GSW,L (-8),1,33:09,3.0,9.0,.333,0.0,2.0,.000,1,2.0,.500,2.0,6.0,8.0,2.0,3.0,0.0,2.0,1.0,7.0,6.7,-1,7.0,3.0,0.4285714285714285,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,7.0,52.0,3.0588235294117645,6.299999999999999,69.6,4.094117647058823
52,51,43,2023-02-01,28-061,OKC,@,HOU,L (-6),0,30:10,6.0,12.0,.500,1.0,5.0,.200,0,0.0,,3.0,3.0,6.0,2.0,3.0,0.0,1.0,3.0,13.0,12.2,-1,7.0,5.0,0.7142857142857143,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,11.0,50.0,2.9411764705882355,12.2,58.00000000000001,3.4117647058823533
53,52,44,2023-02-04,28-064,OKC,,HOU,W (+32),0,10:32,4.0,5.0,.800,2.0,2.0,1.000,0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,0.0,2.0,10.0,12.4,+14,3.0,2.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,13.0,91.0,5.352941176470588,12.4,111.4,6.552941176470589
54,53,45,2023-02-06,28-066,OKC,@,GSW,L (-27),0,19:06,4.0,8.0,.500,1.0,5.0,.200,0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,9.0,6.4,-14,3.0,3.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,5.0,57.0,3.3529411764705883,6.4,81.9,4.81764705882353
55,54,46,2023-02-07,28-067,OKC,@,LAL,W (+3),1,29:43,3.0,6.0,.500,1.0,4.0,.250,1,2.0,.500,1.0,3.0,4.0,5.0,1.0,0.0,1.0,2.0,8.0,8.9,-12,2.0,2.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,9.0,84.0,4.941176470588236,8.499999999999998,98.10000000000002,5.770588235294119
56,55,47,2023-02-10,28-070,OKC,@,POR,W (+9),1,27:02,4.0,9.0,.444,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,8.0,5.4,+2,6.0,4.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,4.0,77.0,4.529411764705882,5.4,104.1,6.123529411764705
57,56,48,2023-02-13,28-073,OKC,,NOP,L (-3),0,30:51,4.0,7.0,.571,1.0,1.0,1.000,0,0.0,,5.0,3.0,8.0,3.0,1.0,1.0,2.0,2.0,9.0,11.1,+1,6.0,3.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,13.0,36.0,2.117647058823529,11.1,52.6,3.0941176470588236
